DeclarationNumber,DeclarantIdentification,PointOfClearance,ErrorCode,ErrorDescription,ErrorPointer,RejectionTimestamp
DK220113878,DK7271954644,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-01 06:33:29
DK220149067,DK3691864041,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-01 09:17:41
DK220158366,DK8370987661,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-01 18:55:53
DK220139208,DK3710566582,CO000002,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2022-01-02 13:59:10
DK220171488,DK2825989011,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-02 16:40:55
DK220117136,DK5951406973,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-02 18:56:07
DK220184355,DK9421518487,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-03 08:23:20
DK220111082,DK7625464411,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-03 10:21:47
DK220151739,DK9922723063,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-03 10:54:54
DK220177264,DK9691572571,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-03 12:09:38
DK220163353,DK2067970820,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-03 13:27:20
DK220174824,DK8737025391,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-03 13:58:52
DK220184136,DK8737025391,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:19:59
DK220133059,DK8737025391,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:22:09
DK220174235,DK8826851692,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:25:51
DK220149843,DK7393195616,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:29:38
DK220158790,DK5570828113,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:30:31
DK220114709,DK8531118333,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:31:31
DK220164587,DK7146318035,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:44:25
DK220182897,DK8316648259,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:47:00
DK220113588,DK1422701550,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:47:05
DK220115289,DK9573276057,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:47:50
DK220153177,DK2625792787,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:51:49
DK220127736,DK9805620900,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 16:59:07
DK220190927,DK6924716023,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:09:02
DK220177048,DK7825844140,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:14:39
DK220126777,DK1983297492,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:20:30
DK220158328,DK9573276057,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:25:32
DK220156173,DK8478529823,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:31:50
DK220140947,DK2948728483,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:36:10
DK220198448,DK8370987661,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:46:34
DK220113350,DK4460967357,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:48:02
DK220191562,DK4289233844,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:55:13
DK220153131,DK7393195616,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 17:56:20
