UID,year,num_employees,gross_profit,net_profit,labour_cost,total_assets,total_liabilities,income_tax_expense,operating_profit,actual_revenue
GR0000000001,2020,5,151198.0,49794.0,99621.0,903829.0,705105.0,14200.0,63993.0,715913.0
GR0000000001,2021,4,147171.0,51699.0,92318.0,584903.0,403691.0,12066.0,63765.0,484686.0
GR0000000001,2022,4,109574.0,26462.0,95824.0,627169.0,368074.0,5737.0,32198.0,549144.0
GR0000000001,2023,3,104986.0,36146.0,69619.0,495332.0,273042.0,10002.0,46148.0,400986.0
GR0000000001,2024,3,60415.0,16789.0,53347.0,276934.0,223720.0,5362.0,22151.0,257038.0
GR0000000002,2020,8,100984.0,22767.0,159295.0,728225.0,517087.0,7238.0,30005.0,392037.0
GR0000000002,2021,9,162104.0,48975.0,138701.0,1031684.0,738516.0,14595.0,63570.0,489253.0
GR0000000002,2022,10,261813.0,74248.0,195996.0,1832820.0,1187186.0,30396.0,104644.0,846284.0
GR0000000002,2023,11,188101.0,42719.0,186243.0,1419691.0,936819.0,17655.0,60374.0,538187.0
GR0000000002,2024,12,190979.0,31051.0,229971.0,1101747.0,755289.0,12801.0,43852.0,759508.0
GR0000000003,2020,2,217685.0,70392.0,53688.0,508739.0,288617.0,25528.0,95920.0,436360.0
GR0000000003,2021,1,178911.0,67140.0,32974.0,371273.0,208004.0,19555.0,86695.0,323362.0
GR0000000003,2022,1,104112.0,28865.0,30517.0,194171.0,87724.0,10531.0,39396.0,187136.0
GR0000000003,2023,1,108289.0,44711.0,33944.0,222676.0,117347.0,13720.0,58431.0,213456.0
GR0000000003,2024,1,58264.0,19864.0,30160.0,92849.0,46550.0,6648.0,26512.0,96244.0
GR0000000004,2020,15,334921.0,97578.0,305746.0,1702384.0,1128582.0,27118.0,124696.0,1453165.0
GR0000000004,2021,15,291951.0,79323.0,290919.0,1112622.0,825571.0,29491.0,108814.0,1214903.0
GR0000000004,2022,15,236681.0,66334.0,308573.0,1244429.0,928242.0,23096.0,89430.0,1221410.0
GR0000000004,2023,13,252007.0,53048.0,247630.0,1525060.0,1095863.0,19578.0,72626.0,1158322.0
GR0000000004,2024,12,316232.0,77178.0,260633.0,1431985.0,977849.0,21830.0,99008.0,1425870.0
GR0000000005,2020,22,791140.0,204072.0,333903.0,4819330.0,3880254.0,52761.0,256833.0,2936350.0
GR0000000005,2021,21,868846.0,196403.0,358447.0,5281611.0,3646170.0,64636.0,261039.0,2377708.0
