return_id,entity_id,tax_year,submission_date,filing_status,preparation_method,total_revenue,total_expenses,taxable_profit,tax_liability,tax_credits_claimed,final_tax_due,paid_status
TR-424CC75C,GR0000000001,2022,2023-06-17,On-time,Agent-prepared,1057096.0,992668.0,64428.0,14866.71,1390.61,13476.1,Paid
TR-11531FF7,GR0000000001,2023,2024-06-13,On-time,Agent-prepared,790987.0,738356.0,52631.0,12144.56,1418.11,10726.45,Paid
TR-964C5BE0,GR0000000001,2024,2025-06-25,On-time,Agent-prepared,993014.0,941657.0,51357.0,11850.58,1302.1,10548.49,Paid
TR-EA91072A,GR0000000002,2022,2023-08-21,Extended,Agent-prepared,1834689.0,1615781.0,218908.0,60524.28,8083.08,52441.21,Paid
TR-002E4ED6,GR0000000002,2023,2024-06-10,On-time,Agent-prepared,2412271.0,2071173.0,341098.0,94307.71,13280.57,81027.14,Paid
TR-C76046A8,GR0000000002,2024,2025-07-20,Extended,Agent-prepared,2429150.0,2199966.0,229184.0,63365.42,8035.13,55330.29,Paid
TR-C4DD78C1,GR0000000003,2022,2023-06-11,On-time,Agent-prepared,4430211.0,3941911.0,488300.0,116721.85,10003.18,106718.67,Paid
TR-CE4C8FD3,GR0000000003,2023,2024-06-14,On-time,Agent-prepared,2316760.0,2005751.0,311009.0,74342.71,7689.77,66652.94,Paid
TR-5D6C8DC2,GR0000000003,2024,2025-06-11,On-time,Agent-prepared,3060457.0,2570920.0,489537.0,117017.54,11672.98,105344.56,Paid
TR-CAB03FD7,GR0000000004,2022,2023-06-17,On-time,Agent-prepared,1379966.0,1154602.0,225364.0,49328.54,6216.97,43111.57,Paid
TR-D0651E2C,GR0000000004,2023,2024-06-17,On-time,Agent-prepared,2200027.0,1696877.0,503150.0,110131.41,14323.56,95807.84,Paid
TR-FCC04F17,GR0000000004,2024,2025-06-10,On-time,Agent-prepared,1298135.0,1102887.0,195248.0,42736.63,6779.85,35956.78,Paid
TR-3172C570,GR0000000005,2022,2023-06-25,On-time,Agent-prepared,1259207.0,1093163.0,166044.0,44804.01,4848.13,39955.88,Paid
TR-F0B81DA5,GR0000000005,2023,2024-06-19,On-time,Agent-prepared,654541.0,582619.0,71922.0,19406.87,2390.63,17016.24,Paid
TR-D0A847CF,GR0000000005,2024,2025-06-24,On-time,Agent-prepared,985521.0,862200.0,123321.0,33275.97,3338.63,29937.34,Paid
TR-A8153F6E,GR0000000006,2022,2023-07-22,Late,Self-prepared,308095.36,305014.41,3080.95,873.35,143.72,729.63,Unpaid
TR-1D878CBA,GR0000000006,2023,2024-06-26,On-time,Self-prepared,197092.99,195122.06,1970.93,558.69,88.47,470.22,Paid
TR-2F6024E3,GR0000000006,2024,2025-06-27,On-time,Self-prepared,84914.29,84065.14,849.14,240.7,37.8,202.9,Paid
TR-F1118E80,GR0000000007,2024,2025-06-11,On-time,Agent-prepared,3531562.0,2389676.0,1141886.0,257959.61,42052.19,215907.42,Paid
TR-2D088546,GR0000000008,2022,2023-06-11,On-time,Agent-prepared,16324953.0,14980310.0,1344643.0,293315.68,40627.51,252688.17,Paid
TR-3FC9D5D2,GR0000000008,2023,2024-06-15,On-time,Agent-prepared,23276572.0,21567866.0,1708706.0,372731.09,51622.51,321108.58,Paid
TR-D0F6C42B,GR0000000008,2024,2025-06-16,On-time,Agent-prepared,26351294.0,23116669.0,3234625.0,705589.68,115890.87,589698.81,Paid
TR-30E9F31C,GR0000000009,2022,2023-06-13,On-time,Agent-prepared,37683225.0,34065314.0,3617911.0,818735.92,146813.87,671922.05,Paid
TR-6A65C0C3,GR0000000009,2023,2024-06-11,On-time,Agent-prepared,34770242.0,31121225.0,3649017.0,825775.23,137621.89,688153.34,Paid
TR-D369EF56,GR0000000009,2024,2025-07-03,Late,Agent-prepared,27990912.0,25155547.0,2835365.0,641645.19,100660.67,540984.51,Paid
TR-5B0AC9A2,GR0000000010,2022,2023-06-16,On-time,Agent-prepared,80618089.0,68456736.0,12161353.0,2988192.89,550089.7,2438103.19,Paid
TR-BAB60B10,GR0000000010,2023,2024-06-10,On-time,Agent-prepared,68557810.0,56796326.0,11761484.0,2889940.2,476012.23,2413927.97,Paid
TR-49C7A34A,GR0000000010,2024,2025-08-21,Extended,Agent-prepared,83644970.0,72627241.0,11017729.0,2707190.52,449031.41,2258159.1,Paid
TR-F26F7C44,GR0000000011,2022,2023-08-26,Extended,Self-prepared,138256.35,136873.78,1382.56,354.2,49.93,304.27,Paid
TR-CD45EE2D,GR0000000011,2023,2024-06-28,On-time,Self-prepared,78747.76,77960.28,787.48,201.74,28.56,173.18,Paid
TR-9398CF6E,GR0000000011,2024,2025-09-19,Extended,Self-prepared,111807.04,110688.97,1118.07,286.44,37.87,248.57,Unpaid
TR-4ED2F3CD,GR0000000012,2022,2023-06-28,On-time,Agent-prepared,4426374.72,4293583.48,132791.24,34255.58,2968.58,31287.0,Paid
TR-F3F3F3C9,GR0000000012,2023,2024-06-28,On-time,Agent-prepared,2581670.24,2504220.13,77450.11,19979.47,1704.97,18274.5,Paid
TR-D05A68C9,GR0000000012,2024,2025-06-28,On-time,Self-prepared,4792927.03,4649139.22,143787.81,37092.32,3189.48,33902.84,Unpaid
TR-55089449,GR0000000013,2022,2023-06-22,On-time,Agent-prepared,505093.0,457874.0,47219.0,11366.59,928.61,10437.98,Paid
TR-94AD463C,GR0000000013,2023,2024-06-13,On-time,Agent-prepared,553238.0,504074.0,49164.0,11834.79,991.14,10843.66,Paid
TR-317194F5,GR0000000013,2024,2025-06-21,On-time,Agent-prepared,523146.0,479241.0,43905.0,10568.84,925.46,9643.38,Paid
TR-469EB6EE,GR0000000014,2022,2023-06-20,On-time,Self-prepared,3357739.86,3257007.66,100732.2,23021.97,1865.25,21156.72,Unpaid
TR-FD2D82AE,GR0000000014,2023,2024-06-29,On-time,Agent-prepared,1813565.91,1759158.93,54406.98,12434.51,1009.59,11424.93,Paid
TR-55789FD9,GR0000000014,2024,2025-06-26,On-time,Agent-prepared,2490279.84,2415571.45,74708.4,17074.33,1381.26,15693.07,Paid
TR-5DA0D577,GR0000000015,2022,2023-06-24,On-time,Agent-prepared,3260129.0,2550294.0,709835.0,196780.01,33970.29,162809.72,Paid
TR-49AAF9D0,GR0000000015,2023,2024-06-14,On-time,Self-prepared,5885681.0,4383187.0,1502494.0,416520.44,68527.64,347992.8,Paid
TR-B8D3CEB3,GR0000000015,2024,2025-06-10,On-time,Agent-prepared,3579121.0,2555080.0,1024041.0,283884.0,45764.41,238119.59,Paid
TR-CEFAFB17,GR0000000016,2022,2023-06-15,On-time,Agent-prepared,9140419.0,7075636.0,2064783.0,472673.89,67071.52,405602.37,Paid
TR-20584094,GR0000000016,2023,2024-06-16,On-time,Agent-prepared,7844681.0,6182268.0,1662413.0,380562.61,49804.97,330757.64,Paid
TR-696D1C6C,GR0000000016,2024,2025-06-12,On-time,Agent-prepared,8455440.0,7030401.0,1425039.0,326222.52,46344.94,279877.58,Paid
TR-8176B017,GR0000000017,2023,2024-06-12,On-time,Self-prepared,1477514.0,977130.0,500384.0,120972.19,12564.19,108408.0,Paid
TR-7403C26F,GR0000000017,2024,2025-06-23,On-time,Self-prepared,910399.0,632375.0,278024.0,67214.72,6538.16,60676.56,Paid
TR-6A1D7F92,GR0000000018,2022,2023-06-20,On-time,Agent-prepared,3845236.0,2760211.0,1085025.0,232739.15,44345.25,188393.91,Paid
TR-07890469,GR0000000018,2023,2024-06-13,On-time,Agent-prepared,3195822.0,2387695.0,808127.0,173344.2,31570.1,141774.11,Paid
TR-C0BFE914,GR0000000018,2024,2025-06-20,On-time,Agent-prepared,3682021.0,2797049.0,884972.0,189827.55,34832.81,154994.74,Paid
